SNo.,Code,State,Andhra Pradesh (AP)District,Headquarters,Population,Area,Density
,,,,,-2021,(km),(/km)
1,AS,Andhra Pradesh (AP),Alluri Sitharama Raju,Paderu,"954,000","12,251",77.87
2,AK,Andhra Pradesh (AP),Anakapalli,Anakapalli,"1,727,000","4,292",402.38
3,AN,Andhra Pradesh (AP),Ananthapuramu,Ananthapuramu,"2,241,100","10,205",219.608
4,AM,Andhra Pradesh (AP),Annamayya,Rayachoti,"1,697,300","7,954",213.389
5,BP,Andhra Pradesh (AP),Bapatla,Bapatla,"1,587,000","3,829",414.47
6,CH,Andhra Pradesh (AP),Chittoor,Chittoor,"1,873,000","6,855",273.23
7,KN,Andhra Pradesh (AP),Dr. B.R. Ambedkar Konaseema,Amalapuram,"1,719,100","2,083",825.3
8,EG,Andhra Pradesh (AP),East Godavari,Rajamahendravaram,"1,832,300","2,561",715.46
9,EL,Andhra Pradesh (AP),Eluru,Eluru,"2,071,700","6,679",310.181
10,GU,Andhra Pradesh (AP),Guntur,Guntur,"2,091,000","2,443",855.9
11,KK,Andhra Pradesh (AP),Kakinada,Kakinada,"2,092,300","3,019",693.04
12,KR,Andhra Pradesh (AP),Krishna,Machilipatnam,"1,735,000","3,775",459.602
13,KU,Andhra Pradesh (AP),Kurnool,Kurnool,"2,271,700","7,980",284.67
14,NN,Andhra Pradesh (AP),Nandyal,Nandyal,"1,781,800","9,682",184.032
15,NT,Andhra Pradesh (AP),NTR,Vijayawada,"2,218,000","3,316",668.88
16,PL,Andhra Pradesh (AP),Palnadu,Narasaraopet,"2,042,000","7,298",279.8
17,PM,Andhra Pradesh (AP),Parvathipuram Manyam,Parvathipuram,"925,300","3,659",252.88
18,PR,Andhra Pradesh (AP),Prakasam,Ongole,"2,288,000","14,322",160
19,SR,Andhra Pradesh (AP),Srikakulam,Srikakulam,"2,191,471","4,591",477.34
20,NE,Andhra Pradesh (AP),Sri Potti Sriramulu Nellore,Nellore,"2,469,700","10,441",236
21,SS,Andhra Pradesh (AP),Sri Sathya Sai,Puttaparthi,"1,840,000","8,925",206.2
22,TR,Andhra Pradesh (AP),Tirupati,Tirupati,"2,197,000","8,231",241.72
23,VS,Andhra Pradesh (AP),Visakhapatnam,Visakhapatnam,"1,959,500","1,048",1869.8
24,VZ,Andhra Pradesh (AP),Vizianagaram,Vizianagaram,"1,930,800","4,122",468.41
25,WG,Andhra Pradesh (AP),West Godavari,Bhimavaram,"1,780,000","2,178",817.3
26,CU,Andhra Pradesh (AP),YSR,Kadapa,"2,060,700","11,228",183.532
27,AJ,Arunachal Pradesh (AR),Anjaw,Hawai,"21,089","6,190",3
28,CH,Arunachal Pradesh (AR),Changlang,Changlang,"147,951","4,662",32
29,EK,Arunachal Pradesh (AR),East Kameng,Seppa,"78,413","4,134",19
30,ES,Arunachal Pradesh (AR),East Siang,Pasighat,"99,019","3,603",27
31,,Arunachal Pradesh (AR),Itanagar capital complex,Itanagar,"122,930",200,614.65
32, –,Arunachal Pradesh (AR),Kamle,Raga,"22,256",200,111
33, –,Arunachal Pradesh (AR),Kra Daadi,Palin,"22,290",2202,10
34,KK,Arunachal Pradesh (AR),Kurung Kumey,Koloriang,"89,717","6,040",15
35, –,Arunachal Pradesh (AR),Lepa Rada,Basar, –, –, –
